Year,Month,Day,Date,mintemp_C,maxtemp_C,precip_mm,vpd_kpa
1991,9,14,9/14/1991,-0.65,11.45,0.4,0.39
1991,9,15,9/15/1991,-2.05,17.45,0,0.73
1991,9,16,9/16/1991,1.15,20.95,0,1.05
1991,9,17,9/17/1991,3.65,21.65,0,1.09
1991,9,18,9/18/1991,1.45,22.45,0,1.15
1991,9,19,9/19/1991,3.45,25.55,0,1.56
1991,9,20,9/20/1991,5.55,26.15,0,1.7
1991,9,21,9/21/1991,-0.85,13.75,0,0.69
1991,9,22,9/22/1991,-4.85,17.45,0,0.89
1991,9,23,9/23/1991,-0.25,17.65,0,0.87
1991,9,24,9/24/1991,1.45,24.45,0,1.3
1991,9,25,9/25/1991,5.15,26.85,0,1.7
1991,9,26,9/26/1991,6.45,27.25,0,1.81
1991,9,27,9/27/1991,6.75,26.65,0,1.67
1991,9,28,9/28/1991,8.85,21.35,6.7,1.01
1991,9,29,9/29/1991,5.75,21.95,0.9,0.91
1991,9,30,9/30/1991,4.45,22.65,0,1.14
1991,10,1,10/1/1991,5.65,23.05,0,1.3
1991,10,2,10/2/1991,2.95,18.85,0,1
1991,10,3,10/3/1991,-1.45,13.35,0,0.68
1991,10,4,10/4/1991,-5.95,12.95,0,0.66
1991,10,5,10/5/1991,-3.55,18.55,0,0.97
1991,10,6,10/6/1991,1.95,23.25,0,1.32
1991,10,7,10/7/1991,4.15,22.05,0,1.34
1991,10,8,10/8/1991,1.75,19.65,0,1.05
1991,10,9,10/9/1991,0.75,21.35,0,1.19
1991,10,10,10/10/1991,4.05,25.45,0,1.57
1991,10,11,10/11/1991,5.85,24.75,0,1.56
1991,10,12,10/12/1991,4.05,21.65,0,1.28
1991,10,13,10/13/1991,-0.95,16.65,0,0.85
1991,10,14,10/14/1991,0.65,20.25,0,0.99
1991,10,15,10/15/1991,3.65,23.75,0,1.37
1991,10,16,10/16/1991,5.45,19.55,0,1.1
1991,10,17,10/17/1991,-4.55,12.45,0,0.51
1991,10,18,10/18/1991,-8.85,9.95,0,0.51
1991,10,19,10/19/1991,-1.05,11.45,0,0.53
1991,10,20,10/20/1991,-3.75,15.35,0,0.61
1991,10,21,10/21/1991,0.05,15.65,0.9,0.63
1991,10,22,10/22/1991,-3.35,10.95,0.4,0.41
1991,10,23,10/23/1991,-8.65,2.15,1.8,0.12
1991,10,24,10/24/1991,-9.05,4.85,0.7,0.23
1991,10,25,10/25/1991,-5.65,2.95,6.6,0.09
1991,10,26,10/26/1991,-5.25,6.05,5.8,0.13
1991,10,27,10/27/1991,-8.45,0.55,0.5,0.1
1991,10,28,10/28/1991,-9.65,-0.55,0,0.19
1991,10,29,10/29/1991,-10.15,-0.05,0,0.18
1991,10,30,10/30/1991,-15.15,1.65,0,0.24
1991,10,31,10/31/1991,-6.35,0.45,2.5,0.12
1991,11,1,11/1/1991,-12.65,-2.85,3.5,0.03
1991,11,2,11/2/1991,-17.15,-3.35,0,0.15
1991,11,3,11/3/1991,-12.85,0.65,0,0.18
1991,11,4,11/4/1991,-5.35,2.45,9.1,0.04
1991,11,5,11/5/1991,-1.85,4.05,6.2,0.04
1991,11,6,11/6/1991,-3.85,3.65,0.7,0.14
1991,11,7,11/7/1991,-4.75,5.55,0,0.18
1991,11,8,11/8/1991,-0.65,9.25,4.9,0.25
1991,11,9,11/9/1991,-1.45,5.95,3,0.18
1991,11,10,11/10/1991,-1.95,6.25,0,0.28
1991,11,11,11/11/1991,-2.45,7.75,0,0.38
1991,11,12,11/12/1991,1.35,6.45,16,0.12
1991,11,13,11/13/1991,-3.35,4.25,3,0.14
1991,11,14,11/14/1991,-5.35,1.25,0,0.17
1991,11,15,11/15/1991,-8.65,2.75,0,0.27
1991,11,16,11/16/1991,-8.25,2.95,1.2,0.23
1991,11,17,11/17/1991,-2.65,2.25,2.2,0.12
1991,11,18,11/18/1991,-3.85,0.65,0.5,0.13
1991,11,19,11/19/1991,-6.75,3.35,0.7,0.22
1991,11,20,11/20/1991,-2.75,2.35,4.5,0.14
1991,11,21,11/21/1991,-7.15,-1.95,1,0.11
1991,11,22,11/22/1991,-10.15,-3.55,0,0.12
1991,11,23,11/23/1991,-9.65,-2.05,0.9,0.14
1991,11,24,11/24/1991,-3.05,1.75,4,0.09
1991,11,25,11/25/1991,-1.65,3.55,6.1,0.09
1991,11,26,11/26/1991,-5.25,0.35,6.2,0.06
1991,11,27,11/27/1991,-6.35,1.75,8.2,0.08
1991,11,28,11/28/1991,-11.45,-3.65,1.3,0.03
1991,11,29,11/29/1991,-12.05,-4.25,1.8,0.07
1991,11,30,11/30/1991,-19.35,-9.25,0,0.01
1991,12,1,12/1/1991,-16.65,-3.55,0.5,0.04
1991,12,2,12/2/1991,-11.35,-2.15,2.4,0.04
1991,12,3,12/3/1991,-12.75,-1.15,0.3,0.05
1991,12,4,12/4/1991,-7.95,1.05,0,0.14
1991,12,5,12/5/1991,-7.85,1.65,1.1,0.14
1991,12,6,12/6/1991,-4.05,2.35,10.3,0.05
1991,12,7,12/7/1991,-8.55,1.05,2.1,0.09
1991,12,8,12/8/1991,-10.55,-1.35,0,0.08
1991,12,9,12/9/1991,-9.35,-0.15,1.2,0.11
1991,12,10,12/10/1991,-10.75,-3.25,0,0.07
1991,12,11,12/11/1991,-11.05,-2.05,0,0.13
1991,12,12,12/12/1991,-8.65,-0.65,4.9,0.07
1991,12,13,12/13/1991,-13.65,-5.75,0,0.07
1991,12,14,12/14/1991,-13.45,-1.95,0,0.12
1991,12,15,12/15/1991,-11.35,0.05,0,0.19
1991,12,16,12/16/1991,-9.65,0.65,0,0.19
1991,12,17,12/17/1991,-7.15,2.45,1,0.24
1991,12,18,12/18/1991,-5.95,0.95,1.1,0.15
1991,12,19,12/19/1991,-12.55,-2.85,0,0.05
1991,12,20,12/20/1991,-15.35,-3.55,0,0.12
1991,12,21,12/21/1991,-10.45,-0.05,0,0.2
1991,12,22,12/22/1991,-9.45,0.05,0,0.1
1991,12,23,12/23/1991,-8.05,0.65,0,0.11
1991,12,24,12/24/1991,-9.85,-0.15,0,0.12
1991,12,25,12/25/1991,-8.95,0.05,0,0.13
1991,12,26,12/26/1991,-8.55,1.85,0,0.21
1991,12,27,12/27/1991,-5.65,3.15,0,0.27
1991,12,28,12/28/1991,-7.65,0.85,0,0.17
1991,12,29,12/29/1991,-10.25,-0.75,0,0.06
1991,12,30,12/30/1991,-10.35,-1.35,0.4,0.06
1991,12,31,12/31/1991,-9.85,-1.35,0.7,0.04
1992,1,1,1/1/1992,-12.45,-0.55,0,0.14
1992,1,2,1/2/1992,-8.95,0.25,0,0.15
1992,1,3,1/3/1992,-10.45,0.85,0,0.16
1992,1,4,1/4/1992,-8.15,1.05,0,0.13
1992,1,5,1/5/1992,-7.45,1.05,0,0.1
1992,1,6,1/6/1992,-6.75,0.55,1.1,0.07
1992,1,7,1/7/1992,-13.15,-2.75,0,0.05
1992,1,8,1/8/1992,-14.95,-2.45,0,0.11
1992,1,9,1/9/1992,-10.75,1.65,0,0.16
1992,1,10,1/10/1992,-6.85,2.95,0,0.24
1992,1,11,1/11/1992,-9.45,-1.65,0.4,0.1
1992,1,12,1/12/1992,-14.45,-4.85,0,0.05
1992,1,13,1/13/1992,-12.85,-2.95,0,0.08
1992,1,14,1/14/1992,-10.95,-2.35,0,0.06
1992,1,15,1/15/1992,-13.15,-0.85,0,0.08
1992,1,16,1/16/1992,-7.95,0.95,0.3,0.09
1992,1,17,1/17/1992,-12.95,-2.25,0,0.1
1992,1,18,1/18/1992,-13.15,-0.45,0,0.17
1992,1,19,1/19/1992,-9.35,2.35,0,0.26
1992,1,20,1/20/1992,-8.75,2.65,0,0.26
1992,1,21,1/21/1992,-11.95,-1.85,0,0.12
1992,1,22,1/22/1992,-14.15,-3.15,0,0.09
1992,1,23,1/23/1992,-8.95,1.85,1.6,0.11
1992,1,24,1/24/1992,-5.05,2.75,0,0.15
1992,1,25,1/25/1992,-5.35,3.05,0,0.19
1992,1,26,1/26/1992,-9.45,0.55,0.7,0.11
1992,1,27,1/27/1992,-8.25,2.35,1.3,0.11
1992,1,28,1/28/1992,-5.35,4.65,0.6,0.17
1992,1,29,1/29/1992,-6.95,3.75,0,0.19
1992,1,30,1/30/1992,-4.85,5.65,0,0.3
1992,1,31,1/31/1992,-2.75,9.95,0,0.56
1992,2,1,2/1/1992,-4.35,8.35,0,0.48
1992,2,2,2/2/1992,-7.35,4.95,0,0.22
1992,2,3,2/3/1992,-10.35,4.15,0,0.24
1992,2,4,2/4/1992,-8.15,5.55,0,0.35
1992,2,5,2/5/1992,-8.95,4.65,0,0.28
1992,2,6,2/6/1992,-8.45,5.15,0,0.23
1992,2,7,2/7/1992,-7.65,4.85,0,0.19
1992,2,8,2/8/1992,-6.45,4.55,0,0.15
1992,2,9,2/9/1992,-8.35,4.95,0,0.15
1992,2,10,2/10/1992,-7.05,6.05,0,0.2
1992,2,11,2/11/1992,-5.55,6.05,0,0.18
1992,2,12,2/12/1992,-6.95,5.85,0,0.18
1992,2,13,2/13/1992,-4.55,5.15,0.8,0.17
1992,2,14,2/14/1992,-6.85,5.25,0.4,0.2
1992,2,15,2/15/1992,-5.55,5.85,0.3,0.27
1992,2,16,2/16/1992,-6.95,1.95,0.3,0.13
1992,2,17,2/17/1992,-7.55,2.25,0.5,0.21
1992,2,18,2/18/1992,-7.85,3.85,0.5,0.22
1992,2,19,2/19/1992,-3.85,7.25,1.3,0.19
1992,2,20,2/20/1992,-2.35,7.55,1.7,0.23
1992,2,21,2/21/1992,-4.75,6.55,2,0.18
1992,2,22,2/22/1992,-5.25,5.75,2.3,0.19
1992,2,23,2/23/1992,-10.95,4.05,0,0.15
1992,2,24,2/24/1992,-5.65,4.75,0.7,0.13
1992,2,25,2/25/1992,-7.05,6.05,0,0.19
1992,2,26,2/26/1992,-7.15,6.95,0,0.24
1992,2,27,2/27/1992,-3.85,9.85,0,0.43
1992,2,28,2/28/1992,-3.25,10.15,0,0.46
1992,2,29,2/29/1992,-2.35,12.75,0,0.54
1992,3,1,3/1/1992,-0.95,12.65,0,0.47
1992,3,2,3/2/1992,-1.45,12.65,0,0.49
1992,3,3,3/3/1992,-1.75,10.75,1.6,0.35
1992,3,4,3/4/1992,-1.25,10.15,1.5,0.31
1992,3,5,3/5/1992,-2.15,12.05,0,0.46
1992,3,6,3/6/1992,-1.95,11.85,0,0.45
1992,3,7,3/7/1992,-2.65,10.55,0,0.4
1992,3,8,3/8/1992,-4.05,9.85,0,0.33
1992,3,9,3/9/1992,-5.05,9.65,0,0.35
1992,3,10,3/10/1992,-4.35,11.35,0,0.45
1992,3,11,3/11/1992,-4.45,11.35,0,0.45
1992,3,12,3/12/1992,-3.35,12.35,0,0.5
1992,3,13,3/13/1992,-2.15,14.85,0,0.62
1992,3,14,3/14/1992,-0.05,16.45,0,0.75
1992,3,15,3/15/1992,0.25,14.35,1.1,0.64
1992,3,16,3/16/1992,-0.75,13.15,4.3,0.54
1992,3,17,3/17/1992,-2.45,8.15,7.1,0.29
1992,3,18,3/18/1992,-3.55,8.15,0,0.31
1992,3,19,3/19/1992,-4.45,11.05,0,0.48
1992,3,20,3/20/1992,-4.45,11.65,0,0.55
1992,3,21,3/21/1992,-7.25,9.05,0,0.4
1992,3,22,3/22/1992,-5.35,11.75,0,0.58
1992,3,23,3/23/1992,-3.55,12.15,0,0.6
1992,3,24,3/24/1992,-3.25,12.35,0.8,0.6
1992,3,25,3/25/1992,-6.45,10.35,0,0.41
1992,3,26,3/26/1992,-3.15,11.95,3,0.48
1992,3,27,3/27/1992,-0.85,11.95,3.1,0.42
1992,3,28,3/28/1992,-2.85,10.65,0,0.4
1992,3,29,3/29/1992,-1.95,14.65,0,0.62
1992,3,30,3/30/1992,-0.55,16.85,0.3,0.73
1992,3,31,3/31/1992,-0.65,14.25,0,0.58
1992,4,1,4/1/1992,-1.25,15.85,0,0.61
1992,4,2,4/2/1992,1.15,19.15,0,0.85
1992,4,3,4/3/1992,2.55,19.25,0,0.92
1992,4,4,4/4/1992,0.65,10.75,2.6,0.41
1992,4,5,4/5/1992,-4.25,5.85,1.2,0.36
1992,4,6,4/6/1992,-4.95,3.05,0.6,0.34
1992,4,7,4/7/1992,-7.25,9.45,2.2,0.5
1992,4,8,4/8/1992,-3.35,8.35,1.7,0.27
1992,4,9,4/9/1992,0.05,11.35,9.8,0.32
1992,4,10,4/10/1992,0.15,8.45,2.8,0.3
1992,4,11,4/11/1992,-1.15,15.55,0,0.56
1992,4,12,4/12/1992,3.65,15.65,1.1,0.56
1992,4,13,4/13/1992,2.95,15.15,0,0.61
1992,4,14,4/14/1992,0.55,17.05,0,0.77
1992,4,15,4/15/1992,0.25,17.35,0,0.77
1992,4,16,4/16/1992,1.45,15.95,3.5,0.63
