DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
7/7/2023,87,",,7",44,",,7"
7/8/2023,89,",,7",45,",,7"
7/9/2023,90,",,7",46,",,7"
7/10/2023,93,",,7",55,",,7"
7/11/2023,90,",,7",48,",,7"
7/12/2023,85,",,7",42,",,7"
7/13/2023,89,",,7",46,",,7"
7/14/2023,86,",,7",45,",,7"
7/15/2023,88,",,7",44,",,7"
7/16/2023,92,",,7",48,",,7"
7/17/2023,98,",,7",52,",,7"
7/18/2023,89,",,7",41,",,7"
7/19/2023,90,",,7",43,",,7"
7/20/2023,93,",,7",46,",,7"
7/21/2023,95,",,7",48,",,7"
7/22/2023,97,",,7",48,",,7"
7/23/2023,99,",,7",53,",,7"
7/24/2023,97,",,7",55,",,7"
7/25/2023,90,",,7",50,",,7"
7/26/2023,87,",,7",45,",,7"
7/27/2023,87,",,7",47,",,7"
7/28/2023,90,",,7",47,",,7"
7/29/2023,92,",,7",46,",,7"
7/30/2023,90,",,7",50,",,7"
7/31/2023,93,",,7",43,",,7"
8/1/2023,93,",,7",43,",,7"
8/2/2023,95,",,7",49,",,7"
8/3/2023,87,",,7",50,",,7"
8/4/2023,91,",,7",52,",,7"
8/5/2023,70,",,7",52,",,7"
8/6/2023,82,",,7",45,",,7"
8/7/2023,80,",,7",43,",,7"
8/8/2023,75,",,7",48,",,7"
8/9/2023,79,",,7",45,",,7"
8/10/2023,84,",,7",44,",,7"
8/11/2023,85,",,7",42,",,7"
8/12/2023,88,",,7",43,",,7"
8/13/2023,89,",,7",44,",,7"
8/14/2023,92,",,7",47,",,7"
8/15/2023,98,",,7",52,",,7"
8/16/2023,100,",,7",51,",,7"
8/17/2023,99,",,7",51,",,7"
8/18/2023,99,",,7",60,",,7"
8/19/2023,85,",,7",50,",,7"
8/20/2023,91,",,7",57,",,7"
8/21/2023,63,",,7",56,",,7"
8/22/2023,68,",,7",55,",,7"
8/23/2023,74,",,7",51,",,7"
8/24/2023,76,",,7",43,",,7"
8/25/2023,83,",,7",47,",,7"
8/26/2023,83,",,7",46,",,7"
8/27/2023,88,",,7",52,",,7"
8/28/2023,90,",,7",48,",,7"
8/29/2023,91,",,7",47,",,7"
8/30/2023,93,",,7",45,",,7"
8/31/2023,70,",,7",37,",,7"
9/1/2023,82,",,7",43,",,7"
9/2/2023,83,",,7",47,",,7"
9/3/2023,83,",,7",54,",,7"
9/4/2023,64,",,7",51,",,7"
9/5/2023,67,",,7",47,",,7"
9/6/2023,73,",,7",40,",,7"
9/7/2023,78,",,7",43,",,7"
9/8/2023,80,",,7",45,",,7"
9/9/2023,81,",,7",40,",,7"
9/10/2023,81,",,7",39,",,7"
9/11/2023,84,",,7",40,",,7"
9/12/2023,84,",,7",39,",,7"
9/13/2023,84,",,7",43,",,7"
9/14/2023,79,",,7",36,",,7"
9/15/2023,80,",,7",35,",,7"
9/16/2023,83,",,7",37,",,7"
9/17/2023,85,",,7",36,",,7"
9/18/2023,86,",,7",40,",,7"
9/19/2023,77,",,7",34,",,7"
9/20/2023,72,",,7",28,",,7"
9/21/2023,67,",,7",35,",,7"
9/22/2023,58,",,7",36,",,7"
9/23/2023,57,",,7",30,",,7"
9/24/2023,71,",,7",32,",,7"
9/25/2023,73,",,7",36,",,7"
9/26/2023,79,",,7",36,",,7"
9/27/2023,70,",,7",37,",,7"
9/28/2023,61,",,7",27,",,7"
9/29/2023,64,",,7",29,",,7"
9/30/2023,67,",,7",36,",,7"
10/1/2023,48,",,7",41,",,7"
10/2/2023,52,",,7",43,",,7"
10/3/2023,58,",,7",41,",,7"
10/4/2023,55,",,7",35,",,7"
10/5/2023,64,",,7",32,",,7"
10/6/2023,73,",,7",33,",,7"
10/7/2023,74,",,7",33,",,7"
10/8/2023,79,",,7",34,",,7"
10/9/2023,81,",,7",35,",,7"
10/10/2023,81,",,7",38,",,7"
10/11/2023,56,",,7",37,",,7"
10/12/2023,51,",,7",34,",,7"
10/13/2023,57,",,7",28,",,7"
10/14/2023,65,",,7",31,",,7"
10/15/2023,63,",,7",41,",,7"
10/16/2023,75,",,7",37,",,7"
10/17/2023,76,",,7",43,",,7"
10/18/2023,68,",,7",32,",,7"
10/19/2023,76,",,7",33,",,7"
10/20/2023,80,",,7",34,",,7"
10/21/2023,79,",,7",33,",,7"
10/22/2023,76,",,7",34,",,7"
10/23/2023,62,",,7",39,",,7"
10/24/2023,63,",,7",26,",,7"
10/25/2023,58,",,7",28,",,7"
10/26/2023,48,",,7",29,",,7"
10/27/2023,39,",,7",28,",,7"
10/28/2023,41,",,7",14,",,7"
10/29/2023,37,",,7",10,",,7"
10/30/2023,42,",,7",13,",,7"
10/31/2023,47,",,7",17,",,7"
11/1/2023,53,",,7",24,",,7"
11/2/2023,52,",,7",34,",,7"
11/3/2023,42,",,7",37,",,7"
11/4/2023,47,",,7",30,",,7"
11/5/2023,45,",,7",38,",,7"
11/6/2023,48,",,7",35,",,7"
11/7/2023,42,",,7",30,",,7"
11/8/2023,41,",,7",26,",,7"
11/9/2023,46,",,7",18,",,7"
11/10/2023,47,",,7",21,",,7"
11/11/2023,41,",,7",29,",,7"
11/12/2023,49,",,7",27,",,7"
11/13/2023,57,",,7",29,",,7"
11/14/2023,58,",,7",26,",,7"
11/15/2023,59,",,7",35,",,7"
11/16/2023,60,",,7",29,",,7"
11/17/2023,56,",,7",23,",,7"
11/18/2023,54,",,7",24,",,7"
11/19/2023,43,",,7",27,",,7"
11/20/2023,43,",,7",21,",,7"
11/21/2023,44,",,7",19,",,7"
11/22/2023,46,",,7",21,",,7"
11/23/2023,39,",,7",25,",,7"
11/24/2023,42,",,7",20,",,7"
11/25/2023,39,",,7",11,",,7"
11/26/2023,36,",,7",11,",,7"
11/27/2023,40,",,7",12,",,7"
11/28/2023,42,",,7",10,",,7"
11/29/2023,43,",,7",12,",,7"
11/30/2023,43,",,7",14,",,7"
12/1/2023,32,",,7",22,",,7"
12/2/2023,32,",,7",25,",,7"
12/3/2023,32,",,7",25,",,7"
12/4/2023,35,",,7",29,",,7"
12/5/2023,46,",,7",34,",,7"
12/6/2023,56,",,7",33,",,7"
12/7/2023,56,",,7",32,",,7"
12/8/2023,38,",,7",24,",,7"
12/9/2023,35,",,7",9,",,7"
12/10/2023,31,",,7",14,",,7"
12/11/2023,33,",,7",28,",,7"
12/12/2023,36,",,7",20,",,7"
12/13/2023,38,",,7",6,",,7"
12/14/2023,33,",,7",7,",,7"
12/15/2023,33,",,7",15,",,7"
12/16/2023,37,",,7",12,",,7"
12/17/2023,37,",,7",10,",,7"
12/18/2023,38,",,7",12,",,7"
12/19/2023,41,",,7",23,",,7"
12/20/2023,41,",,7",32,",,7"
12/21/2023,42,",,7",26,",,7"
12/22/2023,44,",,7",25,",,7"
12/23/2023,43,",,7",27,",,7"
12/24/2023,34,",,7",4,",,7"
12/25/2023,27,",,7",5,",,7"
12/26/2023,30,",,7",8,",,7"
12/27/2023,35,",,7",14,",,7"
12/28/2023,34,",,7",23,",,7"
12/29/2023,41,",,7",21,",,7"
12/30/2023,44,",,7",22,",,7"
12/31/2023,36,",,7",19,",,7"
1/1/2024,37,",,7",15,",,7"
1/2/2024,36,",,7",11,",,7"
1/3/2024,38,",,7",14,",,7"
1/4/2024,34,",,7",19,",,7"
1/5/2024,36,",,7",26,",,7"
1/6/2024,39,",,7",16,",,7"
1/7/2024,31,",,7",15,",,7"
1/8/2024,31,",,7",1,",,7"
1/9/2024,33,",,7",8,",,7"
1/10/2024,32,",,7",21,",,7"
1/11/2024,27,",,7",12,",,7"
1/12/2024,27,",,7",18,",,7"
1/13/2024,20,",,7",-20,",,7"
1/14/2024,9,",,7",-14,",,7"
1/15/2024,20,",,7",-2,",,7"
1/16/2024,19,",,7",-4,",,7"
1/17/2024,28,",,7",2,",,7"
1/18/2024,33,",,7",26,",,7"
1/19/2024,37,",,7",31,",,7"
1/20/2024,41,",,7",30,",,7"
1/21/2024,41,",,7",32,",,7"
1/22/2024,42,",,7",32,",,7"
1/23/2024,43,",,7",31,",,7"
1/24/2024,42,",,7",28,",,7"
1/25/2024,43,",,7",31,",,7"
1/26/2024,43,",,7",14,",,7"
1/27/2024,39,",,7",20,",,7"
1/28/2024,39,",,7",33,",,7"
1/29/2024,42,",,7",28,",,7"
1/30/2024,56,",,7",24,",,7"
1/31/2024,57,",,7",26,",,7"
2/1/2024,61,",,7",27,",,7"
2/2/2024,44,",,7",32,",,7"
2/3/2024,38,",,7",31,",,7"
2/4/2024,37,",,7",27,",,7"
2/5/2024,40,",,7",29,",,7"
2/6/2024,42,",,7",25,",,7"
2/7/2024,41,",,7",30,",,7"
2/8/2024,39,",,7",28,",,7"
2/9/2024,38,",,7",25,",,7"
2/10/2024,34,",,7",7,",,7"
2/11/2024,36,",,7",10,",,7"
2/12/2024,42,",,7",24,",,7"
2/13/2024,40,",,7",19,",,7"
2/14/2024,40,",,7",21,",,7"
2/15/2024,36,",,7",28,",,7"
2/16/2024,38,",,7",17,",,7"
2/17/2024,37,",,7",0,",,7"
2/18/2024,41,",,7",10,",,7"
2/19/2024,38,",,7",22,",,7"
2/20/2024,49,",,7",30,",,7"
2/21/2024,45,",,7",29,",,7"
2/22/2024,46,",,7",30,",,7"
2/23/2024,47,",,7",15,",,7"
2/24/2024,49,",,7",20,",,7"
2/25/2024,53,",,7",31,",,7"
2/26/2024,42,",,7",32,",,7"
2/27/2024,33,",,7",17,",,7"
2/28/2024,33,",,7",21,",,7"
2/29/2024,38,",,7",32,",,7"
3/1/2024,39,",,7",27,",,7"
3/2/2024,36,",,7",28,",,7"
3/3/2024,32,",,7",9,",,7"
3/4/2024,31,",,7",12,",,7"
3/5/2024,31,",,7",18,",,7"
3/6/2024,33,",,7",6,",,7"
3/7/2024,37,",,7",-3,",,7"
3/8/2024,38,",,7",-1,",,7"
3/9/2024,44,",,7",9,",,7"
3/10/2024,51,",,7",32,",,7"
3/11/2024,47,",,7",31,",,7"
3/12/2024,41,",,7",31,",,7"
3/13/2024,45,",,7",18,",,7"
3/14/2024,38,",,7",11,",,7"
3/15/2024,46,",,7",15,",,7"
3/16/2024,53,",,7",20,",,7"
3/17/2024,60,",,7",24,",,7"
3/18/2024,63,",,7",23,",,7"
3/19/2024,65,",,7",23,",,7"
3/20/2024,63,",,7",25,",,7"
3/21/2024,63,",,7",33,",,7"
3/22/2024,54,",,7",28,",,7"
3/23/2024,58,",,7",28,",,7"
3/24/2024,41,",,7",28,",,7"
3/25/2024,46,",,7",26,",,7"
3/26/2024,42,",,7",26,",,7"
3/27/2024,44,",,7",23,",,7"
3/28/2024,44,",,7",31,",,7"
3/29/2024,39,",,7",23,",,7"
3/30/2024,41,",,7",24,",,7"
3/31/2024,54,",,7",25,",,7"
4/1/2024,48,",,7",24,",,7"
4/2/2024,58,",,7",25,",,7"
4/3/2024,69,",,7",33,",,7"
4/4/2024,55,",,7",36,",,7"
4/5/2024,44,",,7",31,",,7"
4/6/2024,43,",,7",27,",,7"
4/7/2024,45,",,7",28,",,7"
4/8/2024,47,",,7",23,",,7"
4/9/2024,51,",,7",29,",,7"
4/10/2024,54,",,7",25,",,7"
4/11/2024,60,",,7",25,",,7"
4/12/2024,63,",,7",33,",,7"
4/13/2024,72,",,7",36,",,7"
4/14/2024,74,",,7",30,",,7"
4/15/2024,73,",,7",40,",,7"
4/16/2024,60,",,7",29,",,7"
4/17/2024,54,",,7",26,",,7"
4/18/2024,45,",,7",18,",,7"
4/19/2024,51,",,7",21,",,7"
4/20/2024,56,",,7",23,",,7"
4/21/2024,65,",,7",34,",,7"
4/22/2024,62,",,7",24,",,7"
4/23/2024,63,",,7",25,",,7"
4/24/2024,69,",,7",29,",,7"
4/25/2024,63,",,7",29,",,7"
4/26/2024,63,",,7",37,",,7"
4/27/2024,55,",,7",37,",,7"
4/28/2024,60,",,7",34,",,7"
4/29/2024,57,",,7",35,",,7"
4/30/2024,47,",,7",21,",,7"
5/1/2024,41,",,7",22,",,7"
5/2/2024,50,",,7",25,",,7"
5/3/2024,50,",,7",23,",,7"
5/4/2024,60,",,7",31,",,7"
5/5/2024,66,",,7",36,",,7"
5/6/2024,51,",,7",34,",,7"
5/7/2024,51,",,7",32,",,7"
5/8/2024,44,",,7",32,",,7"
5/9/2024,51,",,7",29,",,7"
5/10/2024,65,",,7",30,",,7"
5/11/2024,75,",,7",33,",,7"
5/12/2024,77,",,7",36,",,7"
5/13/2024,79,",,7",37,",,7"
5/14/2024,76,",,7",39,",,7"
5/15/2024,71,",,7",33,",,7"
5/16/2024,73,",,7",38,",,7"
5/17/2024,77,",,7",37,",,7"
5/18/2024,64,",,7",26,",,7"
5/19/2024,65,",,7",35,",,7"
5/20/2024,57,",,7",32,",,7"
5/21/2024,53,",,7",29,",,7"
5/22/2024,61,",,7",39,",,7"
5/23/2024,50,",,7",32,",,7"
5/24/2024,53,",,7",27,",,7"
5/25/2024,65,",,7",39,",,7"
5/26/2024,59,",,7",32,",,7"
5/27/2024,68,",,7",33,",,7"
5/28/2024,76,",,7",39,",,7"
5/29/2024,80,",,7",44,",,7"
5/30/2024,61,",,7",31,",,7"
5/31/2024,63,",,7",30,",,7"
6/1/2024,72,",,7",34,",,7"
6/2/2024,76,",,7",39,",,7"
6/3/2024,71,",,7",49,",,7"
6/4/2024,58,",,7",36,",,7"
6/5/2024,71,",,7",45,",,7"
6/6/2024,79,",,7",39,",,7"
6/7/2024,86,",,7",45,",,7"
6/8/2024,87,",,7",43,",,7"
6/9/2024,86,",,7",52,",,7"
6/10/2024,84,",,7",44,",,7"
6/11/2024,79,",,7",43,",,7"
6/12/2024,84,",,7",43,",,7"
6/13/2024,82,",,7",36,",,7"
6/14/2024,89,",,7",47,",,7"
6/15/2024,83,",,7",46,",,7"
6/16/2024,67,",,7",29,",,7"
6/17/2024,63,",,7",39,",,7"
6/18/2024,48,",,7",31,",,7"
6/19/2024,64,",,7",30,",,7"
6/20/2024,75,",,7",35,",,7"
6/21/2024,81,",,7",38,",,7"
6/22/2024,86,",,7",42,",,7"
6/23/2024,92,",,7",46,",,7"
6/24/2024,90,",,7",47,",,7"
6/25/2024,87,",,7",43,",,7"
6/26/2024,91,",,7",52,",,7"
6/27/2024,87,",,7",56,",,7"
6/28/2024,74,",,7",38,",,7"
6/29/2024,78,",,7",41,",,7"
6/30/2024,89,",,7",53,",,7"
7/1/2024,82,",,7",44,",,7"
7/2/2024,79,",,7",41,",,7"
7/3/2024,81,",,7",39,",,7"
7/4/2024,79,",,7",38,",,7"
7/5/2024,84,",,7",40,",,7"
7/6/2024,88,",,7",43,",,7"
7/7/2024,91,",,7",42,",,7"
7/8/2024,92,",,7",46,",,7"
7/9/2024,96,",,7",47,",,7"
7/10/2024,99,",,7",50,",,7"
7/11/2024,101,",,7",52,",,7"
7/12/2024,99,",,7",50,",,7"
7/13/2024,97,",,7",50,",,7"
7/14/2024,99,",,7",54,",,7"
7/15/2024,83,",,7",49,",,7"
7/16/2024,94,",,7",46,",,7"
7/17/2024,95,",,7",47,",,7"
7/18/2024,91,",,7",52,",,7"
7/19/2024,98,",,7",51,",,7"
7/20/2024,99,",,7",52,",,7"
7/21/2024,101,",,7",52,",,7"
7/22/2024,102,",,7",57,",,7"
7/23/2024,98,",,7",55,",,7"
7/24/2024,102,",,7",54,",,7"
7/25/2024,101,",,7",59,",,7"
7/26/2024,88,",,7",46,",,7"
7/27/2024,87,",,7",46,",,7"
7/28/2024,85,",,7",46,",,7"
7/29/2024,85,",,7",49,",,7"
7/30/2024,88,",,7",55,",,7"
7/31/2024,67,",,7",43,",,7"
8/1/2024,87,",,7",46,",,7"
8/2/2024,95,",,7",50,",,7"
8/3/2024,101,",,7",54,",,7"
8/4/2024,98,",,7",63,",,7"
8/5/2024,90,",,7",51,",,7"
8/6/2024,97,",,7",52,",,7"
8/7/2024,93,",,7",49,",,7"
8/8/2024,90,",,7",47,",,7"
8/9/2024,89,",,7",50,",,7"
8/10/2024,91,",,7",49,",,7"
8/11/2024,88,",,7",42,",,7"
8/12/2024,88,",,7",50,",,7"
8/13/2024,89,",,7",51,",,7"
8/14/2024,79,",,7",43,",,7"
8/15/2024,84,",,7",43,",,7"
8/16/2024,64,",,7",40,",,7"
8/17/2024,80,",,7",40,",,7"
8/18/2024,92,",,7",52,",,7"
8/19/2024,93,",,7",49,",,7"
8/20/2024,91,",,7",42,",,7"
8/21/2024,87,",,7",40,",,7"
8/22/2024,84,",,7",40,",,7"
8/23/2024,89,",,7",42,",,7"
8/24/2024,81,",,7",47,",,7"
8/25/2024,63,",,7",40,",,7"
8/26/2024,77,",,7",38,",,7"
8/27/2024,82,",,7",38,",,7"
8/28/2024,84,",,7",35,",,7"
8/29/2024,73,",,7",32,",,7"
8/30/2024,85,",,7",38,",,7"
8/31/2024,90,",,7",39,",,7"
9/1/2024,90,",,7",42,",,7"
9/2/2024,93,",,7",43,",,7"
9/3/2024,88,",,7",46,",,7"
9/4/2024,75,",,7",38,",,7"
9/5/2024,86,",,7",41,",,7"
9/6/2024,89,",,7",44,",,7"
9/7/2024,92,",,7",44,",,7"
9/8/2024,94,",,7",44,",,7"
9/9/2024,89,",,7",43,",,7"
9/10/2024,86,",,7",42,",,7"
9/11/2024,85,",,7",45,",,7"
9/12/2024,70,",,7",43,",,7"
9/13/2024,51,",,7",43,",,7"
9/14/2024,64,",,7",36,",,7"
9/15/2024,75,",,7",44,",,7"
9/16/2024,72,",,7",45,",,7"
9/17/2024,79,",,7",43,",,7"
9/18/2024,52,",,7",45,",,7"
9/19/2024,59,",,7",34,",,7"
9/20/2024,74,",,7",38,",,7"
9/21/2024,75,",,7",31,",,7"
9/22/2024,73,",,7",31,",,7"
9/23/2024,79,",,7",37,",,7"
9/24/2024,77,",,7",38,",,7"
9/25/2024,87,",,7",42,",,7"
9/26/2024,87,",,7",47,",,7"
9/27/2024,80,",,7",38,",,7"
9/28/2024,84,",,7",38,",,7"
9/29/2024,89,",,7",39,",,7"
9/30/2024,80,",,7",26,",,7"
10/1/2024,67,",,H",27,",,H"
10/2/2024,81,",,H",33,",,H"
10/3/2024,76,",,H",26,",,H"
10/4/2024,74,",,H",29,",,H"
10/5/2024,81,",,H",32,",,H"
10/6/2024,74,",,H",30,",,H"
10/7/2024,80,",,H",32,",,H"
10/8/2024,80,",,H",33,",,H"
10/9/2024,83,",,H",34,",,H"
10/10/2024,81,",,H",37,",,H"
10/11/2024,73,",,H",34,",,H"
10/12/2024,74,",,H",33,",,H"
10/13/2024,72,",,H",32,",,H"
10/14/2024,79,",,H",32,",,H"
10/15/2024,82,",,H",31,",,H"
10/16/2024,81,",,H",33,",,H"
10/17/2024,55,",,H",35,",,H"
10/18/2024,40,",,H",27,",,H"
10/19/2024,52,",,H",27,",,H"
10/20/2024,66,",,H",33,",,H"
10/21/2024,68,",,H",35,",,H"
10/22/2024,63,",,H",31,",,H"
10/23/2024,59,",,H",28,",,H"
10/24/2024,49,",,H",27,",,H"
10/25/2024,53,",,H",24,",,H"
10/26/2024,60,",,H",25,",,H"
10/27/2024,69,",,H",32,",,H"
10/28/2024,64,",,H",34,",,H"
10/29/2024,48,",,H",31,",,H"
10/30/2024,39,",,H",18,",,H"
10/31/2024,48,",,H",19,",,H"
11/1/2024,40,",,H",30,",,H"
