"","SpringName","site_type","Water_Year","max_ndvi","max_ndvi_doy","amplitude_ndvi","dur_80th_ndvi","sos_doy_ndvi","eos_doy_ndvi","gsl_ndvi","CWB_tot_mm","snowmelt_timing","Dec_CWB_mm","Nov_CWB_mm","Oct_CWB_mm","Apr_CWB_mm","Aug_CWB_mm","Feb_CWB_mm","Jan_CWB_mm","Jul_CWB_mm","Jun_CWB_mm","Mar_CWB_mm","May_CWB_mm","Sep_CWB_mm","Fall_CWB_mm","Spring_CWB_mm","Summer_CWB_mm","Winter_CWB_mm","Latitude","Longitude","Elevation_m","TWI","Aspect","HLI","WEI"
"572","Snail","Spring","2024",0.765269217946411,162,0.337978395665665,35.4,123,264,141,-270.91,107.773333333333,18.8,11.14,-15.76,0.4,-123.81,21.7,18.03,-119.44,-67.51,15.37,-15.19,-14.64,14.18,-82.3,-257.89,55.1,45.10020621,-114.831213,1212.440012,2.385579348,337.496783,0.615221918,0.604990482
"573","Soldier Bar","Non-Spring","2024",0.642669704051345,157,0.264474499749376,35.4,123,207,84,-255.63,119.84,19.3,8.59,-14.72,1.37,-121.86,27.54,18.8,-118.64,-66.44,17.88,-12.67,-14.78,13.17,-77.74,-255.28,64.22,45.10412439,-114.7935992,1257.502785,4.973753929,46.97416978,0.551399052,0.250063062
"574","Soldier Bar","Non-Spring","2020",0.605365519470389,154,0.147510935001031,37.6,130,204,74,-60.7,127.533333333333,24.13,6.1,26.92,-9.34,-122.09,69.6,46.23,-81.16,14.67,21.29,13.07,-70.12,57.15,18.4,-273.37,137.12,45.10412439,-114.7935992,1257.502785,4.973753929,46.97416978,0.551399052,0.250063062
"575","Soldier Bar","Non-Spring","2021",0.636737224444627,155,0.174390811163311,39,133,183,50,-320.32,112.626666666667,28.96,30.23,-5.04,-40.61,-99.71,23.88,27.94,-110.71,-89.49,0.15,-8,-77.92,54.15,-138.1,-288.34,51.97,45.10412439,-114.7935992,1257.502785,4.973753929,46.97416978,0.551399052,0.250063062
"576","Soldier Bar","Non-Spring","2017",0.56719843001093,185,0.153651478201603,40.8,122,220,98,-23.25,115.426666666667,69.09,6.1,17.81,4.02,-133.64,96.01,46.48,-103.21,-25.41,32.94,-3.38,-30.06,93,-24.77,-266.91,175.43,45.10412439,-114.7935992,1257.502785,4.973753929,46.97416978,0.551399052,0.250063062
"577","Soldier Bar","Non-Spring","2018",0.60292320822461,145,0.154881611437075,36.6,125,206,82,-113.27,117.84,43.18,57.57,8.46,-3.4,-114.61,29.72,39.62,-113.06,-9.1,32.41,-10.95,-73.11,109.21,-23.45,-300.78,101.75,45.10412439,-114.7935992,1257.502785,4.973753929,46.97416978,0.551399052,0.250063062
"578","Soldier Bar","Non-Spring","2019",0.612737969094957,163,0.137803984884253,37,123,202,78,-163.31,116.426666666667,19.81,17.27,8.31,0.3,-115.81,35.81,19.05,-84.78,-53.24,27.94,-5.67,-32.3,45.39,-58.61,-232.89,82.8,45.10412439,-114.7935992,1257.502785,4.973753929,46.97416978,0.551399052,0.250063062
"579","Soldier Bar","Non-Spring","2022",0.607975327377958,168,0.16185453021463,40.8,130,209,79,-156.69,112.626666666667,56.64,-2.02,2.47,15.26,-119.38,9.4,37.34,-95.2,-35.83,-3.78,34.42,-56.01,57.09,13.85,-270.59,42.96,45.10412439,-114.7935992,1257.502785,4.973753929,46.97416978,0.551399052,0.250063062
"580","Soldier Bar","Non-Spring","2023",0.616336696510102,172,0.16159111144556,34.8,131,217,87,-67.74,108.893333333333,44.2,30.99,-19.98,-24.17,-35.88,13.21,15.75,-88.58,-4.47,50.98,-20.52,-29.27,55.21,-49.16,-153.73,79.94,45.10412439,-114.7935992,1257.502785,4.973753929,46.97416978,0.551399052,0.250063062
"581","Soldier Bar","Spring","2017",0.659225839023573,190,0.189566359234086,40.8,141,235,94,-23.25,115.426666666667,69.09,6.1,17.81,4.02,-133.64,96.01,46.48,-103.21,-25.41,32.94,-3.38,-30.06,93,-24.77,-266.91,175.43,45.10349,-114.79367,1271.621402,4.081490517,16.04003865,0.522820354,0.411206663
"582","Soldier Bar","Spring","2018",0.67865070204068,163,0.188549750389687,36.6,132,255,123,-113.27,117.84,43.18,57.57,8.46,-3.4,-114.61,29.72,39.62,-113.06,-9.1,32.41,-10.95,-73.11,109.21,-23.45,-300.78,101.75,45.10349,-114.79367,1271.621402,4.081490517,16.04003865,0.522820354,0.411206663
"583","Soldier Bar","Spring","2019",0.710296428035932,152,0.136181890662449,37,127,240,113,-163.31,116.426666666667,19.81,17.27,8.31,0.3,-115.81,35.81,19.05,-84.78,-53.24,27.94,-5.67,-32.3,45.39,-58.61,-232.89,82.8,45.10349,-114.79367,1271.621402,4.081490517,16.04003865,0.522820354,0.411206663
"584","Soldier Bar","Spring","2024",0.744313742546538,169,0.310829083622907,35.4,123,270,147,-255.63,119.84,19.3,8.59,-14.72,1.37,-121.86,27.54,18.8,-118.64,-66.44,17.88,-12.67,-14.78,13.17,-77.74,-255.28,64.22,45.10349,-114.79367,1271.621402,4.081490517,16.04003865,0.522820354,0.411206663
"585","Soldier Bar","Spring","2021",0.765254184162364,155,0.270883706739358,39,134,241,107,-320.32,112.626666666667,28.96,30.23,-5.04,-40.61,-99.71,23.88,27.94,-110.71,-89.49,0.15,-8,-77.92,54.15,-138.1,-288.34,51.97,45.10349,-114.79367,1271.621402,4.081490517,16.04003865,0.522820354,0.411206663
