Year ,Month,Day,MaxTempC,MinTempC,
2016,5,21,15,7.222222222,
2016,5,22,12.22222222,7.222222222,
2016,5,23,13.33333333,5.555555556,
2016,5,24,14.44444444,6.666666667,
2016,5,25,18.33333333,5.555555556,
2016,5,26,20,7.777777778,
2016,5,27,21.66666667,8.333333333,
2016,5,28,17.77777778,7.777777778,
2016,5,29,22.22222222,6.111111111,
2016,5,30,23.88888889,10.55555556,
2016,5,31,23.33333333,3.888888889,
2016,6,1,26.11111111,6.111111111,
2016,6,2,29.44444444,8.888888889,
2016,6,3,22.77777778,6.666666667,
2016,6,4,28.88888889,8.333333333,
2016,6,5,34.44444444,10,
2016,6,6,36.11111111,17.77777778,
2016,6,7,32.22222222,10,
2016,6,8,32.77777778,11.66666667,
2016,6,9,34.44444444,11.11111111,
2016,6,10,28.88888889,7.777777778,
2016,6,11,30.55555556,10,
2016,6,12,22.22222222,5,
2016,6,13,26.66666667,6.111111111,
2016,6,14,27.22222222,10,
2016,6,15,16.11111111,10,
2016,6,16,15.55555556,6.111111111,
2016,6,17,16.11111111,5.555555556,
2016,6,18,23.88888889,10,
2016,6,19,28.33333333,9.444444444,
2016,6,20,27.77777778,9.444444444,
2016,6,21,34.44444444,14.44444444,
2016,6,22,31.66666667,11.11111111,
2016,6,23,32.22222222,15.55555556,
2016,6,24,23.88888889,7.222222222,
2016,6,25,26.66666667,11.11111111,
2016,6,26,32.22222222,12.22222222,
2016,6,27,35.55555556,15,
2016,6,28,36.66666667,17.22222222,
2016,6,29,34.44444444,19.44444444,
2016,6,30,30.55555556,12.77777778,
2016,7,1,34.44444444,12.22222222,
2016,7,2,33.88888889,15.55555556,
2016,7,3,32.22222222,11.66666667,
2016,7,4,32.22222222,12.22222222,
2016,7,5,27.77777778,13.88888889,
2016,7,6,27.77777778,7.222222222,
2016,7,7,28.33333333,8.888888889,
2016,7,8,29.44444444,11.66666667,
2016,7,9,27.77777778,14.44444444,
2016,7,10,22.22222222,12.77777778,
2016,7,11,17.77777778,7.222222222,
2016,7,12,21.66666667,9.444444444,
2016,7,13,21.66666667,8.333333333,
2016,7,14,27.22222222,8.888888889,
2016,7,15,31.11111111,11.11111111,
2016,7,16,36.66666667,12.77777778,
2016,7,17,28.33333333,11.66666667,
2016,7,18,29.44444444,11.66666667,
2016,7,19,34.44444444,14.44444444,
2016,7,20,33.88888889,17.22222222,
2016,7,21,33.33333333,12.22222222,
2016,7,22,36.66666667,15.55555556,
2016,7,23,32.22222222,14.44444444,
2016,7,24,29.44444444,12.77777778,
2016,7,25,35,14.44444444,
2016,7,26,35.55555556,16.11111111,
2016,7,27,33.88888889,12.77777778,
2016,7,28,35.55555556,17.22222222,
2016,7,29,35,15,
2016,7,30,36.66666667,17.22222222,
2016,7,31,36.66666667,12.77777778,
2016,8,1,33.88888889,11.66666667,
2016,8,2,35.55555556,10,
2016,8,3,35,11.11111111,
2016,8,4,28.88888889,8.888888889,
2016,8,5,33.88888889,11.11111111,
2016,8,6,31.66666667,12.77777778,
2016,8,7,29.44444444,10,
2016,8,8,26.11111111,7.222222222,
2016,8,9,30,8.333333333,
2016,8,10,25,7.222222222,
2016,8,11,26.11111111,8.333333333,
2016,8,12,28.33333333,9.444444444,
2016,8,13,31.11111111,10,
2016,8,14,32.22222222,10.55555556,
2016,8,15,33.33333333,11.66666667,
2016,8,16,35,12.22222222,
2016,8,17,35,12.77777778,
2016,8,18,30.55555556,13.88888889,
2016,8,19,33.88888889,9.444444444,
2016,8,20,35.55555556,10.55555556,
2016,8,21,34.44444444,11.11111111,
2016,8,22,32.22222222,11.11111111,
2016,8,23,28.88888889,10,
2016,8,24,26.11111111,10,
2016,8,25,26.66666667,10,
2016,8,26,27.22222222,8.333333333,
2016,8,27,28.88888889,7.777777778,
2016,8,28,31.11111111,10,
2016,8,29,30.55555556,9.444444444,
2016,8,30,32.22222222,13.88888889,
2016,8,31,36.11111111,13.33333333,
2016,9,1,31.66666667,10,
2016,9,2,31.11111111,11.11111111,
2016,9,3,22.77777778,9.444444444,
2016,9,4,23.33333333,7.777777778,
2016,9,5,20.55555556,11.11111111,
2016,9,6,18.88888889,3.888888889,
2016,9,7,22.77777778,10.55555556,
2016,9,8,21.66666667,15.55555556,
2016,9,9,23.88888889,7.777777778,
2016,9,10,24.44444444,4.444444444,
2016,9,11,30,6.666666667,
2016,9,12,25.55555556,10.55555556,
2016,9,13,21.11111111,7.777777778,
2016,9,14,21.66666667,8.333333333,
2016,9,15,10,7.222222222,
2016,9,16,21.66666667,3.888888889,
2016,9,17,26.11111111,6.666666667,
2016,9,18,22.77777778,12.22222222,
2016,9,19,24.44444444,9.444444444,
2016,9,20,26.11111111,7.222222222,
2016,9,21,26.11111111,8.333333333,
2016,9,22,26.11111111,10,
2016,9,23,15.55555556,10,
2016,9,24,15.55555556,9.444444444,
2016,9,25,17.77777778,4.444444444,
2016,9,26,22.22222222,5,
2016,9,27,26.11111111,5,
2016,9,28,28.33333333,5,
2016,9,29,28.88888889,7.777777778,
2016,9,30,26.66666667,8.333333333,
2016,10,1,26.11111111,10,
2016,10,2,22.22222222,0.555555556,
2016,10,3,14.44444444,7.222222222,
2016,10,4,10,3.888888889,
2016,10,5,11.66666667,3.333333333,
2016,10,6,12.77777778,3.888888889,
2016,10,7,12.77777778,3.333333333,
2016,10,8,14.44444444,5,
2016,10,9,21.11111111,3.333333333,
2016,10,10,23.88888889,16.66666667,
2016,10,11,20.55555556,7.222222222,
2016,10,12,12.77777778,-3.333333333,
2016,10,13,14.44444444,1.666666667,
2016,10,14,17.22222222,8.888888889,
2016,10,15,13.942,4.934,
2016,10,16,13.654,5.86,
2016,10,17,12.787,3.788,
2016,10,18,9.176,3.155,
2016,10,19,11.139,0.893,
2016,10,20,11.334,0.01,
2016,10,21,14.996,4.311,
2016,10,22,14.9,5.86,
2016,10,23,14.804,2.195,
2016,10,24,10.944,2.41,
2016,10,25,13.942,4.207,
2016,10,26,15.473,6.37,
2016,10,27,15.951,3.578,
2016,10,28,14.9,7.582,
2016,10,29,15.664,4.311,
2016,10,30,10.259,5.347,
2016,10,31,11.916,4.311,
2016,11,1,9.866,3.367,
2016,11,2,13.75,-0.325,
2016,11,3,11.722,-1.114,
2016,11,4,9.965,-2.03,
2016,11,5,10.846,-2.727,
2016,11,6,16.713,-0.549,
2016,11,7,11.819,-0.213,
2016,11,8,12.594,-0.437,
2016,11,9,11.916,-1.001,
2016,11,10,10.455,-1.57,
2016,11,11,9.965,-2.03,
2016,11,12,9.472,-1.001,
2016,11,13,10.455,-0.549,
2016,11,14,11.916,5.757,
2016,11,15,8.382,4.519,
2016,11,16,24.062,-0.549,
2016,11,17,5.45,-3.792,
2016,11,18,0.784,-6.882,
