"","spring_name","site_type","year","max_ndvi","max_ndvi_doy","amplitude_ndvi","dur_80th_ndvi","sos_doy_ndvi","eos_doy_ndvi","gsl_ndvi"
"90%26","Game Knob","Spring","2024",0.757883731967665,180.651428571429,0.286254173046304,50.5714285714286,153.342857142857,264.6,111.257142857143
"90%27","Game Knob","Matrix","2024",0.656714839650285,178.628571428571,0.218941572664218,35.4,147.274285714286,235.268571428571,87.9942857142857
"90%28","Black Cliffs","Spring","2024",0.666469284172242,162.445714285714,0.281358295645934,35.4,128.057142857143,234.257142857143,106.2
"90%29","Black Cliffs","Matrix","2024",0.588621307636019,157.388571428571,0.265716181158162,35.4,123,218.074285714286,95.0742857142857
"90%30","Gun Shot","Spring","2024",0.663484097067796,161.434285714286,0.342208227571475,35.4,123,266.622857142857,143.622857142857
"90%31","Gun Shot","Matrix","2024",0.623171534564835,160.422857142857,0.296864700913108,35.4,123,207.96,84.96
"90%32","Dunce_9","Spring","2024",0.688161497278096,176.605714285714,0.253062272437991,35.4,137.16,265.611428571429,128.451428571429
"90%33","Dunce_9","Matrix","2024",0.499902811055052,173.571428571429,0.13406512701339,35.4,123,262.577142857143,139.577142857143
"90%34","Wolf Skat","Spring","2024",0.669007288886983,163.457142857143,0.368521734926305,35.4,123,235.268571428571,112.268571428571
"90%35","Wolf Skat","Matrix","2024",0.577952901228101,156.377142857143,0.294253181346675,35.4,123,196.834285714286,73.8342857142857
"90%36","Soldier Bar","Spring","2024",0.744313742546538,168.514285714286,0.310829083622907,35.4,123,269.657142857143,146.657142857143
"90%37","Soldier Bar","Matrix","2024",0.642669704051345,157.388571428571,0.264474499749376,35.4,123,206.948571428571,83.9485714285714
"90%38","Big Joe","Spring","2024",0.763979753285799,182.857142857143,0.290302567602198,32.8,136,246.582857142857,110.582857142857
"90%39","Big Joe","Matrix","2024",0.656916508600932,171.611428571429,0.260107691471865,32.8,136,231.588571428571,95.5885714285714
"90%40","Raspberry","Spring","2024",0.738525359228399,164.468571428571,0.297128680622217,35.4,123,230.211428571429,107.211428571429
"90%41","Raspberry","Matrix","2024",0.591162539747356,148.285714285714,0.311137575026601,35.4,123,187.731428571429,64.7314285714286
"90%42","Drinking Bull Snake","Spring","2024",0.798240795259784,165.48,0.34962013023132,35.4,123,266.622857142857,143.622857142857
"90%43","Drinking Bull Snake","Matrix","2024",0.610118463050231,154.354285714286,0.304206883245188,35.4,123,194.811428571429,71.8114285714286
"90%44","Snail","Spring","2024",0.765269217946411,162.445714285714,0.337978395665665,35.4,123,263.588571428571,140.588571428571
"90%45","Snail","Matrix","2024",0.625682036274422,155.365714285714,0.311057986506105,35.4,123,195.822857142857,72.8228571428571
"90%46","Mountain Alder","Spring","2024",0.763604378406772,181.92,0.310376863171252,32.8,144.434285714286,243.771428571429,99.3371428571429
"90%47","Mountain Alder","Matrix","2024",0.704458345411,173.485714285714,0.271977602920982,32.8,136,233.462857142857,97.4628571428572
"90%48","Hole","Spring","2024",0.767873163498627,166.491428571429,0.305569871962545,35.4,123,232.234285714286,109.234285714286
"90%49","Hole","Matrix","2024",0.650997382425363,160.422857142857,0.327770107254688,35.4,123,197.845714285714,74.8457142857143
"90%50","Nervous Grouse","Spring","2024",0.762424178641181,169.525714285714,0.268009400468014,35.4,123,300,177
"90%51","Nervous Grouse","Matrix","2024",0.620487118110258,163.457142857143,0.282078930687766,35.4,123,202.902857142857,79.9028571428571
